iter	MultiClass
530	0.1863447048
531	0.1858806206
532	0.1854870301
533	0.185275984
534	0.1848673691
535	0.1845706361
536	0.1843415706
537	0.1839688736
538	0.1835844428
539	0.183236478
540	0.18296984
541	0.1826844849
542	0.1823195764
543	0.1820674869
544	0.1818198402
545	0.1814497035
546	0.1812920645
547	0.180916414
548	0.1805614665
549	0.1803907713
550	0.1799888034
551	0.1797771766
552	0.1795297174
553	0.1791235214
554	0.1788213395
555	0.1784147387
556	0.1781806719
557	0.1778930971
558	0.1776592384
559	0.1773108973
560	0.1770611136
561	0.1768081217
562	0.176582419
563	0.1763124732
564	0.1761642059
565	0.1756565111
566	0.1754009156
567	0.175122472
568	0.1747669449
569	0.1746305929
570	0.174299501
571	0.1739210739
572	0.1736065311
573	0.1734430416
574	0.1730709607
575	0.1728333858
576	0.1725278193
577	0.1721109141
578	0.1716670366
579	0.1714222324
580	0.1711926821
581	0.1707054119
582	0.1704766292
583	0.1701234336
584	0.1698853169
585	0.1694745493
586	0.1691434991
587	0.1688607254
588	0.1686448311
589	0.1683966408
590	0.1679650387
591	0.1676890131
592	0.1675508531
593	0.1672900779
594	0.1669989664
595	0.1667298707
596	0.1663724723
597	0.166040438
598	0.1658293903
599	0.1656200881
