iter	MultiClass
0	1.698056566
1	1.605123531
2	1.529021374
3	1.467403043
4	1.413927415
5	1.368724355
6	1.314923188
7	1.274216301
8	1.239315667
9	1.200200582
10	1.165151432
11	1.131835875
12	1.103301052
13	1.076160077
14	1.054490447
15	1.032213018
16	1.010117191
17	0.9906721761
18	0.9736254243
19	0.9559015212
20	0.9398499023
21	0.9262541941
22	0.9099703151
23	0.8964183431
24	0.8839134205
25	0.8719628379
26	0.8584145509
27	0.8477766557
28	0.8375904495
29	0.8269924541
30	0.8173611826
31	0.8077769415
32	0.7978537113
33	0.7892944672
34	0.7813813336
35	0.7730717796
36	0.7651470862
37	0.7587072468
38	0.7525675438
39	0.745555095
40	0.7386858736
41	0.73186268
42	0.7254457598
43	0.7194951538
44	0.7119900151
45	0.7064312292
46	0.7018405373
47	0.6956150825
48	0.6901089965
49	0.6852883432
50	0.6810433013
51	0.6769935916
52	0.6726894316
53	0.6679380791
54	0.6638609134
55	0.6605701192
56	0.6562660884
57	0.6519526247
58	0.6479048013
59	0.6446330284
60	0.6410315293
61	0.6376042241
62	0.634104852
63	0.6310362812
64	0.6273207665
65	0.624256654
66	0.6208014506
67	0.6174902809
68	0.6145353128
69	0.6118351141
70	0.6092600153
71	0.6073586903
72	0.6052631548
73	0.6015519314
74	0.5981536868
75	0.5959697218
76	0.5931069221
77	0.5899443977
78	0.58665871
79	0.5844514069
80	0.5812394485
81	0.5790205166
82	0.5761312951
83	0.5731846357
84	0.5698331281
85	0.5670085333
86	0.564669865
87	0.5623133524
88	0.5603164532
89	0.5572236103
90	0.5552250342
91	0.5528985566
92	0.5511948894
93	0.5480709832
94	0.5453922586
95	0.5426613781
96	0.5405109079
97	0.5392148799
98	0.5368535653
99	0.5343809972
100	0.5324636873
101	0.530770229
102	0.5291541524
103	0.5269142636
104	0.5249814061
105	0.5238356525
106	0.5215284345
107	0.5184149149
108	0.5162227389
109	0.5140404159
110	0.5128071818
111	0.5103727262
112	0.5082728411
113	0.506673959
114	0.5046936484
115	0.5024593597
116	0.5000413395
117	0.4986106432
118	0.4965943589
119	0.4949690713
120	0.4935687997
121	0.4920139278
122	0.4899659753
123	0.4878281301
124	0.486225923
125	0.484830949
126	0.4832956381
127	0.481327928
128	0.4799515513
129	0.4778163365
130	0.4763587008
131	0.4745606597
132	0.4734177111
133	0.4722045663
134	0.4702662947
135	0.469582212
136	0.4676477033
137	0.4662908483
138	0.4642879322
139	0.462539606
140	0.4611797722
141	0.4594835582
142	0.4581851014
143	0.4569518578
144	0.4556574218
145	0.4532935312
146	0.4517066712
147	0.4499125477
148	0.4484652399
149	0.4472633553
150	0.4456564157
151	0.4440645696
152	0.4426601323
153	0.4408227899
154	0.438869207
155	0.4373442416
156	0.435460966
157	0.4345520827
158	0.4336362468
159	0.4326943143
160	0.4313416628
161	0.4295983393
162	0.4281887702
163	0.4269397483
164	0.4257811067
165	0.4245615011
166	0.4233836948
167	0.4219374474
168	0.4209419595
169	0.4197811262
170	0.4185472014
171	0.4169003223
172	0.4157547382
173	0.4138585707
174	0.4121540256
175	0.4111556977
176	0.4100793534
177	0.4088365594
178	0.4074187956
179	0.4059687789
180	0.404919904
181	0.4038518191
182	0.4028248174
183	0.4017119666
184	0.4005228543
185	0.3992964639
186	0.398165989
187	0.3962284266
188	0.3946439269
189	0.3929910967
190	0.3915825362
191	0.3909853075
192	0.3898127501
193	0.3885696112
194	0.3875543096
195	0.386742989
196	0.3857624918
197	0.3848217673
198	0.3839170049
199	0.382629001
200	0.3813292939
201	0.3796368057
202	0.3782991229
203	0.3771460151
204	0.3762839714
205	0.3748587933
206	0.3745738097
207	0.3735114368
208	0.3727295891
209	0.3715280703
210	0.3703360249
211	0.3690085594
212	0.3679457931
213	0.3672693151
214	0.3663456831
215	0.3657380246
216	0.3648017525
217	0.3639194523
218	0.3631528229
219	0.362161461
220	0.3609800873
221	0.3596249914
222	0.3586957851
223	0.3578101947
224	0.3571478129
225	0.3565196762
226	0.3555981758
227	0.3547943414
228	0.353742227
229	0.3527369975
230	0.3519955136
231	0.3508207113
232	0.3499212711
233	0.348891924
234	0.347573821
235	0.3469626926
236	0.3465026307
237	0.3455151646
238	0.3441997461
239	0.3435338802
240	0.3426402043
241	0.3421050973
242	0.3412833645
243	0.3405185326
244	0.3396250301
245	0.3389529238
246	0.3381907593
247	0.3372340627
248	0.3362634901
249	0.335560478
250	0.3347710624
251	0.33433799
252	0.3329420374
253	0.3316089326
254	0.3306507775
255	0.3297814523
256	0.3289208425
257	0.3280314557
258	0.3271217407
259	0.3263015386
260	0.3256929107
261	0.3247218453
262	0.3240504262
263	0.322910408
264	0.3221624925
265	0.3214012124
266	0.3208674534
267	0.3199408284
268	0.3192294813
269	0.3183485605
270	0.3176052175
271	0.3165280966
272	0.3158621837
273	0.3154566495
274	0.3143995305
275	0.3136639143
276	0.3131399308
277	0.3123772168
278	0.3116074079
279	0.3105624971
280	0.3096480945
281	0.3088927193
282	0.3078544152
283	0.3067014956
284	0.3058082935
285	0.3050499383
286	0.3043002599
287	0.3035125548
288	0.3028246701
289	0.3022177557
290	0.301363432
291	0.3006840181
292	0.3000291689
293	0.299383839
294	0.2986210051
295	0.2979743082
296	0.2975391115
297	0.2967747702
298	0.2959803069
299	0.2953750499
300	0.2948579728
301	0.2939519207
302	0.2929996842
303	0.2922882285
304	0.2916365566
305	0.2909675547
306	0.2903010428
307	0.2895119663
308	0.288744907
309	0.2883314026
310	0.2875239056
311	0.2870417424
312	0.286382266
313	0.2855695265
314	0.2849803192
315	0.2843776124
316	0.2837987931
317	0.283113445
318	0.2824847699
319	0.2818089581
320	0.2810969303
321	0.2805595776
322	0.2799052617
323	0.2789863048
324	0.2781568147
325	0.2772877029
326	0.2767527071
327	0.2762610558
328	0.2755363027
329	0.2750937928
330	0.2743304967
331	0.2738331478
332	0.2732759362
333	0.2725436658
334	0.2722733879
335	0.2718319442
336	0.2710742326
337	0.2707755302
338	0.2700277179
339	0.2693782695
340	0.2688931793
341	0.2682590599
342	0.2678512895
343	0.2673978682
344	0.2665281169
345	0.2661085335
346	0.2656201895
347	0.2648914234
348	0.2644887664
349	0.2637436538
350	0.2630276922
351	0.2623279607
352	0.2616794569
353	0.2612922203
354	0.260852619
355	0.2603590433
356	0.2600039776
357	0.2588469298
358	0.2583938723
359	0.2578740635
360	0.2574059865
361	0.2568467494
362	0.2563787904
363	0.2559277856
364	0.2554992832
365	0.2547329348
366	0.2537159113
367	0.2531814783
368	0.2526262345
369	0.2522840504
370	0.2516907006
371	0.2509916549
372	0.2502833532
373	0.2495473139
374	0.249149818
375	0.248524384
376	0.2480923769
377	0.2477832477
378	0.2472683383
379	0.2463551976
380	0.2460140584
381	0.2456313369
382	0.245107967
383	0.2445466129
384	0.2441626387
385	0.2437195116
386	0.2433818631
387	0.2430026722
388	0.2425920035
389	0.2422347005
390	0.2419300183
391	0.2414486898
392	0.2406311994
393	0.2402479928
394	0.2399110777
395	0.239532184
396	0.2390796299
397	0.2384629386
398	0.2377782988
399	0.23740746
400	0.2367709211
401	0.2363683587
402	0.2358798072
403	0.2356120951
404	0.235229493
405	0.2347358385
406	0.2344150732
407	0.2339912048
408	0.2334491329
409	0.2329637635
410	0.2326883004
411	0.2322817642
412	0.2318673801
413	0.2316157283
414	0.2310690705
415	0.2306641196
416	0.2303021312
417	0.2296878741
418	0.2291855347
419	0.2287663224
420	0.2279633954
421	0.2274601182
422	0.2269712853
423	0.2266051511
424	0.2261862223
425	0.2258408018
426	0.2252959476
427	0.2250245131
428	0.2245732208
429	0.2240634531
430	0.2238096781
431	0.2233494101
432	0.2228907511
433	0.2225389684
434	0.2222167658
435	0.2218896689
436	0.2211971163
437	0.2209255224
438	0.2203438707
439	0.2199310427
440	0.2195233497
441	0.219153834
442	0.2187867449
443	0.2185843003
444	0.218086256
445	0.2178137969
446	0.2174237017
447	0.2169633844
448	0.2165533809
449	0.2161033875
450	0.215750516
451	0.215429138
452	0.2151458858
453	0.2147133221
454	0.214413078
455	0.2141334152
456	0.2136591159
457	0.2132778914
458	0.2129830933
459	0.2126691273
460	0.2121041191
461	0.2116512889
462	0.2112229617
463	0.2107787111
464	0.2104908326
465	0.2101551012
466	0.2097791144
467	0.2091852367
468	0.2086427851
469	0.2083031334
470	0.2080334963
471	0.2075456191
472	0.2071612331
473	0.2067281486
474	0.2065179873
475	0.2061813247
476	0.2055232097
477	0.204995962
478	0.2047661831
479	0.2042166231
480	0.2039412655
481	0.2034203763
482	0.2029246688
483	0.2026599828
484	0.2021575858
485	0.2017718252
486	0.2014698585
487	0.201139274
488	0.2006132131
489	0.2002470953
490	0.1999191906
491	0.1995374906
492	0.1992394126
493	0.1989082215
494	0.198346137
495	0.1979079293
496	0.1975744693
497	0.1970123447
498	0.1967341245
499	0.1962935693
500	0.1960029586
501	0.1954314146
502	0.1951326218
503	0.1948342615
504	0.1944567877
505	0.193988257
506	0.1935725789
507	0.1931411139
508	0.1928142086
509	0.1925373627
510	0.1923699055
511	0.1919266839
512	0.1916247119
513	0.1913585763
514	0.1910821392
515	0.1907254164
516	0.1904464794
517	0.1902215507
518	0.1898696421
519	0.1896923066
520	0.1892154785
521	0.1889566185
522	0.1885487412
523	0.1881899742
524	0.1878870072
525	0.1875483962
526	0.1872857392
527	0.187078834
528	0.1868249399
529	0.1865074741
